iter	Accuracy	MultiClass
81	0.4836422716	0.9963680589
82	0.483739732	0.996185833
83	0.4840277424	0.9960206482
84	0.4839267472	0.9958132055
85	0.4840864638	0.9956042724
86	0.4844363055	0.9953671124
87	0.484424566	0.9951919157
88	0.4845382552	0.9949841091
89	0.484895311	0.9948076008
90	0.4850940193	0.9945696067
91	0.4854124577	0.9943451784
92	0.4855064277	0.9942369633
93	0.4853172009	0.994077753
94	0.4858742118	0.9939054175
95	0.4857888566	0.9937925397
96	0.4860144317	0.9936474344
97	0.485964754	0.9935341068
98	0.4861017284	0.9933644103
99	0.4863024402	0.9932385207
100	0.4865371594	0.9930948273
101	0.4865460152	0.9929612916
102	0.4867529093	0.9928071389
103	0.4869004328	0.9926539931
104	0.4871299978	0.9924918258
105	0.4873014508	0.9924004629
106	0.4875112204	0.9922787072
107	0.4877039846	0.9921435287
108	0.4877424082	0.9920056287
109	0.4878046413	0.9919071299
110	0.4877851702	0.9917604022
111	0.4878081254	0.991638899
112	0.4880246041	0.9915305312
113	0.4882638345	0.9913854482
114	0.4884204009	0.9912735642
115	0.4886591941	0.9911782321
116	0.4887950604	0.9910788597
117	0.4888437184	0.990989182
118	0.4889290889	0.9908637553
119	0.488867252	0.9907196956
120	0.4890471239	0.9905878621
121	0.4893865575	0.9904159533
122	0.4894321012	0.9903289701
123	0.4894846476	0.9902378181
124	0.489789599	0.9901368795
125	0.4899294759	0.9900341908
126	0.4899984425	0.9899637655
127	0.4900835461	0.989850879
128	0.490045407	0.9897343976
129	0.4901721789	0.9896087591
130	0.4901350256	0.9895099636
131	0.4902100771	0.9893978157
132	0.490252488	0.9893161201
133	0.4902791189	0.9891957557
134	0.4904409734	0.9890959688
135	0.4905547681	0.9889753574
136	0.4906997369	0.9888949144
137	0.4908574772	0.988829153
138	0.4907427458	0.9887612437
139	0.4906638375	0.9886566453
140	0.4911433866	0.9885474368
141	0.4912486651	0.9884183171
142	0.491315211	0.9883275065
143	0.4912532576	0.9882523057
144	0.4912952606	0.9881795016
145	0.4912722208	0.9881187139
146	0.4915408779	0.9880453298
147	0.4917860626	0.9879655643
148	0.4918698503	0.9878633428
149	0.4918945847	0.9877709279
150	0.4920420695	0.9876907955
151	0.4921298149	0.9875676716
152	0.4922116141	0.9874781163
153	0.4923071672	0.9873714907
154	0.4924246201	0.9872899986
155	0.4925689344	0.9872145463
156	0.4927141817	0.9871260436
157	0.4926263799	0.9870355959
158	0.4926199213	0.9870014743
159	0.4925182776	0.9869125442
160	0.4926669093	0.9868008859
161	0.4928986869	0.9867187996
162	0.4929875851	0.9866224388
163	0.4928652612	0.9865223761
164	0.4932406516	0.9864191681
165	0.4934752497	0.9863575921
166	0.4935147026	0.9862534792
167	0.4934665853	0.9861706326
168	0.4938058096	0.9861058084
169	0.4939636193	0.9860127674
170	0.4940490461	0.9859259947
171	0.4942348007	0.9858714357
172	0.4942252655	0.9858035751
173	0.4944012252	0.9857226964
174	0.4941621993	0.9856374048
175	0.4943382177	0.9855751744
176	0.4943480196	0.9854992376
177	0.4944928298	0.9854127214
178	0.4946367951	0.9853264249
179	0.4950533589	0.9852377551
180	0.4949731109	0.9851832003
181	0.4950813131	0.9850991517
182	0.4953301891	0.9850252458
183	0.4952642777	0.9849444792
184	0.4953376077	0.984873789
185	0.4953885758	0.984811113
186	0.4953015814	0.9847397507
187	0.4955024999	0.9846687824
188	0.4956480634	0.984606199
189	0.4957874292	0.9845375867
190	0.495800552	0.9844676799
191	0.4957764475	0.9844087223
192	0.49585794	0.9843517169
193	0.4959123161	0.9842972698
194	0.4960192422	0.9842189241
195	0.4960498053	0.9841744574
196	0.4961733972	0.9841113055
197	0.4963349731	0.9840420948
198	0.4964907767	0.983935544
199	0.4963910625	0.9838715425
200	0.4965110067	0.9838344181
201	0.4966169633	0.9837481862
202	0.4967237589	0.983680395
203	0.4967209362	0.983591761
204	0.4967786039	0.9835210686
205	0.4970144581	0.9834252309
206	0.4970120021	0.9833824041
207	0.497179026	0.9833142475
208	0.4970957449	0.9832739125
209	0.497096322	0.9832287218
210	0.4971565984	0.9831668279
211	0.4972383224	0.9830922979
212	0.4972888722	0.98304252
213	0.4974490557	0.9829786508
214	0.4977561622	0.9829015193
215	0.4975821732	0.9828620477
216	0.497744916	0.9827982876
217	0.497898018	0.9827203283
218	0.4979965207	0.9826288426
219	0.4981245628	0.9825937901
220	0.498159414	0.9825335046
221	0.4983651999	0.9824651722
222	0.4984538419	0.9823824877
223	0.4982393365	0.9823275867
224	0.4985848243	0.9822403562
225	0.4984579033	0.9821967998
226	0.4985988061	0.9821308637
227	0.4985448331	0.982072523
228	0.4987261431	0.9819703953
229	0.4987765649	0.9818995915
230	0.4989258865	0.9818348547
231	0.498897273	0.981792043
232	0.4990280226	0.981733653
233	0.4993526093	0.9816652317
234	0.4992759502	0.9816032287
235	0.4994891277	0.9815223139
236	0.4997196503	0.9814721553
237	0.4997866827	0.981423415
238	0.4996924834	0.9813475688
239	0.4998709932	0.9813055862
240	0.5000009825	0.9812465343
